2018/06/26 15:10:24 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：quonhncvmcbqrbxwxuntfjzivgaogirkahfetiqelblaepukvvobygheotzhawdn 
2018/06/26 15:10:24 INFO  - jmeter.threads.JMeterThread: Thread is done: 获取token 1-1 
2018/06/26 15:10:24 INFO  - jmeter.threads.JMeterThread: Thread finished: 获取token 1-1 
2018/06/26 15:10:24 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : 开单api 
2018/06/26 15:10:24 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 开单api. 
2018/06/26 15:10:24 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2018/06/26 15:10:24 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2018/06/26 15:10:24 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2018/06/26 15:10:24 INFO  - jmeter.engine.StandardJMeterEngine: Waiting for thread group: 开单api to finish before starting next group 
2018/06/26 15:10:24 INFO  - jmeter.threads.JMeterThread: Thread started: 开单api 2-1 
2018/06/26 15:10:25 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：zodzdrdeviweppcocopyvozktwjqkrugcagqthrpqpoigbxpnevoidoltiygqbmy 
2018/06/26 15:10:25 INFO  - jmeter.services.FileServer: Stored: ..\resources\开单数据_成功.csv 
2018/06/26 15:10:26 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600107 
2018/06/26 15:10:27 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:27 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600108 
2018/06/26 15:10:28 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:28 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600109 
2018/06/26 15:10:29 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:29 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600110 
2018/06/26 15:10:30 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:30 INFO  - jmeter.reporters.Summariser: summary +      7 in 00:00:08 =    0.9/s Avg:   588 Min:     0 Max:  1541 Err:     0 (0.00%) Active: 1 Started: 2 Finished: 1 
2018/06/26 15:10:30 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600111 
2018/06/26 15:10:31 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:31 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600112 
2018/06/26 15:10:32 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:32 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600113 
2018/06/26 15:10:33 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:33 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600114 
2018/06/26 15:10:34 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:35 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600115 
2018/06/26 15:10:35 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:36 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600116 
2018/06/26 15:10:37 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:37 INFO  - jmeter.services.FileServer: Stored: ..\resources\开单数据_失败.csv 
2018/06/26 15:10:38 INFO  - jmeter.threads.JMeterThread: Thread is done: 开单api 2-1 
2018/06/26 15:10:38 INFO  - jmeter.threads.JMeterThread: Thread finished: 开单api 2-1 
2018/06/26 15:10:38 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : 不同账户类型开单 
2018/06/26 15:10:38 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 不同账户类型开单. 
2018/06/26 15:10:38 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2018/06/26 15:10:38 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2018/06/26 15:10:38 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2018/06/26 15:10:38 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2018/06/26 15:10:38 INFO  - jmeter.threads.JMeterThread: Thread started: 不同账户类型开单 3-1 
2018/06/26 15:10:38 INFO  - jmeter.services.FileServer: Stored: ..\resources\开单数据_不同账户类型开单.csv 
2018/06/26 15:10:38 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：ebzzqumwtewypxvnyezfumustqgwpcwmpntragxtwaraywkgoczrjfhuclnrquve 
2018/06/26 15:10:38 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600119 
2018/06/26 15:10:39 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:39 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~获取资金消费记录中的运单号~~~~~~~~~3518062600119 
2018/06/26 15:10:39 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：saxcbwiusynypbmcjauyvbkrttebtyadcxeyofhflzhfjktdyirqhurxkadglxqa 
2018/06/26 15:10:40 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600120 
2018/06/26 15:10:40 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:40 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~获取资金消费记录中的运单号~~~~~~~~~3518062600120 
2018/06/26 15:10:41 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：diojoiqjqftcddodrjtxvcbxeoskajmtmdrjsmfaauglshvcdetusafpaqrvdrfx 
2018/06/26 15:10:41 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600121 
2018/06/26 15:10:42 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:42 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~获取资金消费记录中的运单号~~~~~~~~~3518062600121 
2018/06/26 15:10:42 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：wzmcamowxoxyidxmkvnqwvbeafbzcbsmktvxkzdvhndieimghabaobobrrutfrfc 
2018/06/26 15:10:43 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600122 
2018/06/26 15:10:44 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:44 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~获取资金消费记录中的运单号~~~~~~~~~3518062600121 
2018/06/26 15:10:44 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：thxgwloqdkoerryczcravyvgroobhakgmmsnpwjkwvwluyczmpcobehbsnrpxean 
2018/06/26 15:10:44 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600123 
2018/06/26 15:10:45 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:45 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~获取资金消费记录中的运单号~~~~~~~~~null 
2018/06/26 15:10:45 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~~~~~获取token~~~~~~~~~~：bsiwyylzpfbvpzvsmqjfizkpqyesptssrsnmeyjiecwdgijhqjrxkvvbgvoknatj 
2018/06/26 15:10:46 INFO  - jmeter.util.BeanShellTestElement: ~~~获取运单id：~~~~~3518062600124 
2018/06/26 15:10:46 INFO  - jmeter.util.BeanShellTestElement: 查询条数：1 
2018/06/26 15:10:46 INFO  - jmeter.util.BeanShellTestElement: ~~~~~~~~获取资金消费记录中的运单号~~~~~~~~~null 
2018/06/26 15:10:46 INFO  - jmeter.threads.JMeterThread: Thread is done: 不同账户类型开单 3-1 
2018/06/26 15:10:46 INFO  - jmeter.threads.JMeterThread: Thread finished: 不同账户类型开单 3-1 
2018/06/26 15:10:46 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2018/06/26 15:10:46 INFO  - jmeter.services.FileServer: Close: ..\resources\开单数据_失败.csv 
2018/06/26 15:10:46 INFO  - jmeter.services.FileServer: Close: ..\resources\开单数据_不同账户类型开单.csv 
2018/06/26 15:10:46 INFO  - jmeter.services.FileServer: Close: ..\resources\开单数据_成功.csv 
2018/06/26 15:10:46 INFO  - jmeter.reporters.Summariser: summary +     30 in 00:00:16 =    1.8/s Avg:   200 Min:     1 Max:   561 Err:     0 (0.00%) Active: 0 Started: 3 Finished: 3 
2018/06/26 15:10:46 INFO  - jmeter.reporters.Summariser: summary =     37 in 00:00:24 =    1.5/s Avg:   274 Min:     0 Max:  1541 Err:     0 (0.00%) 
